Sample in Buffer,Sample in Window,TRIGGER,system_i/system_ila_0/inst/probe0_1[3:0],system_i/system_ila_0/inst/probe1_1[3:0],system_i/system_ila_0/inst/probe2_1[3:0],system_i/system_ila_0/inst/probe3_1,system_i/system_ila_0/inst/probe4_1
375,119,0,1,1,1,1,1
376,120,0,1,1,1,1,1
377,121,0,1,1,1,1,1
378,122,0,1,1,1,1,1
379,123,0,1,1,1,1,1
380,124,0,1,1,1,1,1
381,125,0,1,1,1,1,1
382,126,0,1,1,1,1,1
383,127,0,1,1,1,1,1
384,0,0,1,1,1,1,1
385,1,0,1,1,1,1,1
386,2,0,1,1,1,1,1
387,3,0,1,1,1,1,1
388,4,0,1,1,1,1,1
389,5,0,1,1,1,1,1
390,6,0,1,1,1,1,1
391,7,0,1,1,1,1,1
392,8,0,1,1,1,1,1
393,9,0,1,1,1,1,1
394,10,0,1,1,1,1,1
395,11,0,1,1,1,1,1
396,12,0,1,1,1,1,1
397,13,0,1,1,1,1,1
398,14,0,1,1,1,1,1
399,15,0,1,1,1,1,1
400,16,0,1,1,1,1,1
401,17,0,1,1,1,1,1
402,18,0,1,1,1,1,1
403,19,0,1,1,1,1,1
404,20,0,1,1,1,1,1
405,21,0,1,1,1,1,1
406,22,0,1,1,1,1,1
407,23,0,1,1,1,1,1
408,24,0,1,1,1,1,1
409,25,0,1,1,1,1,1
410,26,0,1,1,1,1,1
411,27,0,1,1,1,1,1
412,28,0,1,1,1,1,1
413,29,0,1,1,1,1,1
414,30,0,1,1,1,1,1
415,31,0,1,1,1,1,1
416,32,0,1,1,1,1,1
417,33,0,1,1,1,1,1
418,34,0,1,1,1,1,1
419,35,0,1,1,1,1,1
420,36,0,1,1,1,1,1
421,37,0,1,1,1,1,1
422,38,0,1,1,1,1,1
423,39,0,1,1,1,1,1
424,40,0,1,1,1,1,1
425,41,0,1,1,1,1,1
426,42,0,1,1,1,1,1
427,43,0,1,1,1,1,1
428,44,0,1,1,1,1,1
429,45,0,1,1,1,1,1
430,46,0,1,1,1,1,1
431,47,0,1,1,1,1,1
